Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Evelína; Hungary: Beatrix, Erna; Poland: Gita, Jan, Racibor, Sabina
Czech Republic: Vladěna; Hungary: Rózsa; Poland: Częstowoj, Miron, Rebeka, Róża, Szczęsna, Szczęsny
Czech Republic: Pavlína; Hungary: Erika, Bella; Poland: Bohdan, Paulina, Rajmund Świętosław
Czech Republic: Linda, Samuel; Hungary: Egyed, Egon; Poland: Bronisław, Bronisława, Bronisz
Czech Republic: Adéla; Hungary: Rebeka, Dorina; Poland: Bohdan, Czesław, Eliza, Henryk, Julian, Stefan, Tobiasz, Witomysł
Czech Republic: Bronislav, Bronislava; Hungary: Hilda; Poland: Antoni, Bartłomiej, Bronisław, Bronisz, Izabela, Jan, Joachim, Mojmir, Szymon, Wincenty, Zenon
Czech Republic: Jindřiška; Hungary: Rozália; Poland: Ida, Lilianna, Rościgniew, Róża, Rozalia
Czech Republic: Boris; Hungary: Viktor, Lőrinc; Poland: Dorota, Justyna, Stronisława, Wawrzyniec
Czech Republic: Boleslav; Hungary: Zakariás; Poland: Albin, Beata, Eugenia, Eugeniusz, Michał Uniewit
Czech Republic: Regina; Hungary: Regina; Poland: Domasława, Domisława, Marek, Regina, Rena, Ryszard
Czech Republic: Mariana; Hungary: Mária, Adrienn; Poland: Adrian, Adrianna, Maria, Radosław, Radosława, Klementyna
Czech Republic: Daniela; Hungary: Ádám; Poland: Augustyna, Aureliusz, Piotr Ścibor Ścibora, Sergiusz, Sobiesąd
Czech Republic: Irma; Hungary: Nikolett, Hunor; Poland: Aldona Łukasz, Mikołaj, Mścibor
Czech Republic: Denisa; Hungary: Teodóra; Poland: Feliks, Jacek, Jan, Naczesław
Czech Republic: Marie; Hungary: Mária; Poland: Amadeusz, Maria, Piotr, Sylwin
Czech Republic: Lubor; Hungary: Kornél; Poland: Aleksander, Eugenia, Filip, Lubor, Morzysław, Szeliga
Czech Republic: Radka; Hungary: Szeréna, Roxána; Poland: Bernard, Cyprian, Roksana, Siemomysł Szymon
Czech Republic: Jolana; Hungary: Enikő, Melitta; Poland: Maria, Nikodem
Czech Republic: Ludmila; Hungary: Edit; Poland: Cyprian, Edyta, Eugenia, Franciszek, Kamila, Kornel, Lucja, Wiktor
Czech Republic: Naděžda; Hungary: Zsófia; Poland: Drogosław, Franciszek, Justyn, Justyna, Teodora
Czech Republic: Kryštof; Hungary: Diána; Poland: Dobrowit, Irena, Józef, Stefania
Czech Republic: Zita; Hungary: Vilhelmina; Poland: Konstancja, Teodor, Więcemir
Czech Republic: Oleg; Hungary: Friderika; Poland: Agnieszka, Barbara, Dionizy, Eustachiusz, Eustachy, Fausta, Faustyna, Filipina, Irena, Klemens, Mieczysława, Miłowuj, Oleg, Perpetua, Protazy
